8.7928;-5.1193;0
-3.1109;10.8666;1
-1.04355;8.78851;1
2.98568;4.57423;2
3.83139;1.47141;2
5.98707;-4.90078;0
-6.87451;-7.1147;3
-9.41513;9.78351;4
1.9452;4.5026;2
3.1809;3.34077;2
3.53354;0.77696;2
-7.58168;-7.20777;3
-8.73868;6.82005;4
5.85633;-5.86795;0
-10.0737;9.48007;4
-7.04091;-6.47606;3
4.62371;-5.56676;0
0.95141;4.64392;2
-7.43553;5.92167;4
-5.7368;-6.12818;3
-7.07199;-6.57856;3
6.69442;-6.40482;0
-8.54526;6.60917;4
-7.22234;-7.68239;3
2.29899;4.98863;2
-9.90063;7.79712;4
-4.23412;8.452;1
-3.41722;7.60198;1
-8.58783;7.66997;4
5.91849;-5.53676;0
-3.83738;9.21115;1
2.84436;6.05824;2
1.17551;2.6466;2
5.00127;3.51121;2
-2.30033;7.05462;1
5.4524;3.32941;2
1.04762;4.94854;2
-3.66019;9.38998;1
-9.01742;10.5338;4
1.79884;4.87545;2
-6.0886;-7.7895;3
-8.90205;7.78548;4
7.09267;-4.97858;0
-6.91434;-8.04879;3
3.96296;2.58485;2
5.38797;-4.83536;0
4.9835;0.21013;2
-2.62485;8.71318;1
5.00151;1.32805;2
-6.78255;-5.91146;3
1.13279;3.34564;2
4.97114;2.94871;2
-9.82886;6.75723;4
1.75764;6.88162;2
-9.75775;8.87346;4
-10.3611;9.16138;4
6.11777;1.4549;2
-8.50526;10.452;4
6.39628;-7.001;0
0.831;4.81801;2
-7.27365;7.53093;4
-5.96423;-6.55136;3
-8.61087;8.63067;4
-3.98772;8.29444;1
-8.31639;7.62051;4
-4.99344;-6.70553;3
-9.62158;7.00146;4
-9.90358;10.1572;4
6.17391;-6.40655;0
-9.51835;7.55578;4
4.96396;1.58809;2
4.42021;2.33028;2
2.64797;3.30429;2
7.15384;-4.88746;0
-8.57844;8.10535;4
-2.44167;7.58954;1
3.40759;-6.77761;-1
2.49554;4.08862;2
4.1607;1.78751;2
-3.05358;9.12521;1
5.12948;-6.23745;0
-10.0602;10.4872;4
-8.295;-7.30075;3
-10.4722;9.55192;4
-1.68665;7.79344;1
4.56787;2.9767;2
-6.58351;-6.61905;3
8.41431;-5.34824;0
-6.97255;7.79736;4
-7.40939;-6.36684;3
-10.966;8.46037;4
-8.02481;6.09266;4
-10.4458;7.50816;4
-8.63431;10.0496;4
-7.27174;-8.34362;3
-8.7984;-6.90662;3
-10.389;7.39209;4
-9.07327;9.91198;4
2.02013;2.79507;2
4.73164;-0.0144;2
-6.62208;-6.95456;3
-2.52269;7.95658;1
-10.3036;10.0778;4
2.0353;5.61499;2
1.57579;5.01785;2
4.60405;3.53781;2
2.23639;2.91571;2
-2.26724;7.10101;1
1.77691;3.40772;2
3.80066;1.66396;2
-1.77073;9.18565;1
-3.52203;9.32853;1
-9.52403;8.32045;4
7.91576;-6.46089;0
-2.97262;8.54856;1
-9.23052;9.95898;4
-8.25147;9.51398;4
-2.96984;10.0714;1
5.72192;-5.81274;0
-9.5301;8.25523;4
-6.8194;-4.41687;3
4.72693;1.67416;2
-9.07326;13.2509;-1
-10.0753;6.00307;4
5.44856;-6.08772;0
-3.10984;8.72259;1
8.77101;-4.72075;0
5.67088;2.90445;2
